timetomaturity,strike,iscall,spot,rate,vol,premium
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,80,1,47.25,0.0123845566666667,0.288803129540448,0.000269896468516483
91,70,1,47.25,0.0123845566666667,0.287518140252765,0.00762988445626141
91,70,1,47.25,0.0123845566666667,0.287518140252765,0.00762988445626141
91,70,1,47.25,0.0123845566666667,0.287518140252765,0.00762988445626141
91,70,1,47.25,0.0123845566666667,0.287518140252765,0.00762988445626141
91,70,1,47.25,0.0123845566666667,0.287518140252765,0.00762988445626141
91,70,1,47.25,0.0123845566666667,0.287518140252765,0.00762988445626141
91,70,1,47.25,0.0123845566666667,0.287518140252765,0.00762988445626141
91,70,1,47.25,0.0123845566666667,0.287518140252765,0.00762988445626141
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,65,1,47.25,0.0123845566666667,0.283002252965484,0.0321721660749993
91,50,1,47.25,0.0123845566666667,0.278014621004229,1.53254697121666
